Version,0.036,,,,,,,,,,,,,Lavar,,,,,,,,,,
Member Label,Member Description,P_Familj,Group Name,Variable Name,Internet link,Latin,P_Storaarter,P_Ris,P_BuskarTrad,P_Barande,P_Habitat_gräsm,P_Habitat_våtm,P_Mossor,P_Lavar,P_H8230,P_H6110,P_Silikat,P_Vatten,P_Kalk,P_Dike,P_Artrikt,P_Hällmark,P_naturahabitat,P_Sand
2170 Sandvidedyner,2170 Sandvidedyner,,Naturahabitat,2170,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2180 Trädklädda Dyner,2180 Trädklädda dyner,,Naturahabitat,2180,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2190 Dynvåtmarker,2190 Dynvåtmarker,,Naturahabitat,2190,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2320 Rissandhedar,2320 Rissandhedar,,Naturahabitat,2320,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2330 Grässandhedar,2330 Grässandhedar,,Naturahabitat,2330,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
3210 Större Vattendrag,3210 Större vattendrag,,Naturahabitat,3210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
3220 Alpina Vattendrag,3220 Alpina vattendrag,,Naturahabitat,3220,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
4010 Fukthedar,4010 Fukthedar,,Naturahabitat,4010,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
4030 Torra Hedar,4030 Torra hedar,,Naturahabitat,4030,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
4060 Alpina Rishedar,4060 Alpina rishedar,,Naturahabitat,4060,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
4080 Alpina Videbuskmarker,4080 Alpina videbuskmarker,,Naturahabitat,4080,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
5131 Enbuskmark På Hed,5131 Enbuskmark på hed,,Naturahabitat,5131,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
5132 Enbuskmark På Kalkgräsmark,5132 Enbuskmark på kalkgräsmark,,Naturahabitat,5132,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
5133 Naturlig Enbuskmark,5133 Naturlig enbuskmark,,Naturahabitat,5133,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6110 Basiska Berghällar,6110 Basiska berghällar,,Naturahabitat,6110,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6120 Sandstäpp ,6120 Sandstäpp ,,Naturahabitat,6120,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6150 Alpina Silikatgräsmarker,6150 Alpina silikatgräsmarker,,Naturahabitat,6150,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6170 Alpina Kalkgräsmarker,6170 Alpina kalkgräsmarker,,Naturahabitat,6170,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6210 Kalkgräsmark,6210 Kalkgräsmark,,Naturahabitat,6210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6211 Orkidékalkgräsmark,6211 Orkidékalkgräsmark,,Naturahabitat,6211,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6230 Stagg-Gräsmarker,6230 Stagg-gräsmarker,,Naturahabitat,6230,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6270 Silikatgräsmarker,6270 Silikatgräsmarker,,Naturahabitat,6270,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6280 Alvar,6280 Alvar,,Naturahabitat,6280,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6411 Kalkfuktäng,6411 Kalkfuktäng,,Naturahabitat,6411,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6412 Fuktäng,6412 Fuktäng,,Naturahabitat,6412,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6430 Högörtängar,6430 Högörtängar,,Naturahabitat,6430,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6450 Svämängar,6450 Svämängar,,Naturahabitat,6450,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6510 Slåtterängar I Låglandet,6510 Slåtterängar i låglandet,,Naturahabitat,6510,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6520 Höglänta Slåtterängar,6520 Höglänta slåtterängar,,Naturahabitat,6520,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6530 Lövängar,6530 Lövängar,,Naturahabitat,6530,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6911 Öppen Kultiverad Betesmark,6911 Öppen kultiverad betesmark,,Naturahabitat,6911,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6912 Öppen Kultiverad Slåtteräng,6912 Öppen kultiverad slåtteräng,,Naturahabitat,6912,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6913 Trädbärande Kultiverad Betesmark,6913 Trädbärande kultiverad betesmark,,Naturahabitat,6913,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6915 Tuvtåteläng,6915 Tuvtåteläng,,Naturahabitat,6915,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
6916 Buskrik Utmark,6916 Buskrik utmark,,Naturahabitat,6916,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7110 Högmossar,7110 Högmossar,,Naturahabitat,7110,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7130 Terrängtäckande Mossar,7130 Terrängtäckande mossar,,Naturahabitat,7130,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7140 Öppna Myrar,7140 Öppna myrar,,Naturahabitat,7140,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7143 Strängflarkkärr/Blandmyr,7143 Strängflarkkärr/blandmyr,,Naturahabitat,7143,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7161 Källa (Punkt),7161 Källa (Punkt),,Naturahabitat,7161,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7162 Källkärr,7162 Källkärr,,Naturahabitat,7162,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7210 Agkärr,7210 Agkärr,,Naturahabitat,7210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7220 Kalktuffkällor (Punkt),7220 Kalktuffkällor (Punkt),,Naturahabitat,7220,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7230 Rikkärr,7230 Rikkärr,,Naturahabitat,7230,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7234 Källa I Rikkärr (Punkt),7234 Källa i rikkärr (Punkt),,Naturahabitat,7234,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7240 Alpina,7240 Alpina,,Naturahabitat,7240,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7294 Källa I Aapamyr,7294 Källa i Aapamyr,,Naturahabitat,7294,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7295 Källkärr I Aapamyr,7295 Källkärr i Aapamyr,,Naturahabitat,7295,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7296 Rikkärr I Aapamyr,7296 Rikkärr i Aapamyr,,Naturahabitat,7296,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7297 Rikärrskälla I Aapamyr,7297 Rikärrskälla i Aapamyr,,Naturahabitat,7297,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7298 Öppen Myr I Aapamyr,7298 Öppen myr i Aapamyr,,Naturahabitat,7298,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7310 Strängflarkkärr/Blandmyr,7310 Strängflarkkärr/blandmyr,,Naturahabitat,7310,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7311 Kalktuffkälla I Aapamyr,7311 Kalktuffkälla i Aapamyr,,Naturahabitat,7311,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7318 Skogsbevuxen Myr I Aapamyr,7318 Skogsbevuxen myr i Aapamyr,,Naturahabitat,7318,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
7320 Palsmyrar,7320 Palsmyrar,,Naturahabitat,7320,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
8110 Silikatrasmarker,8110 Silikatrasmarker,,Naturahabitat,8110,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
8120 Kalkrasmarker,8120 Kalkrasmarker,,Naturahabitat,8120,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
8210 Kalkbranter,8210 Kalkbranter,,Naturahabitat,8210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
8220 Silikatbranter,8220 Silikatbranter,,Naturahabitat,8220,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
8230 Hällmarkstorräng,8230 Hällmarkstorräng,,Naturahabitat,8230,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
8240 Karsthällmarker,8240 Karsthällmarker,,Naturahabitat,8240,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
8340 Glaciärer,8340 Glaciärer,,Naturahabitat,8340,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
"9007 Taiga, Barrsumpskog","9007 Taiga, barrsumpskog",,Naturahabitat,9007,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
"9009 Taiga, Naturlig Störning","9009 Taiga, naturlig störning",,Naturahabitat,9009,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9010 Taiga,9010 Taiga,,Naturahabitat,9010,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9020 Nordlig Ädellövskog,9020 Nordlig ädellövskog,,Naturahabitat,9020,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9030 Landhöjningsskog,9030 Landhöjningsskog,,Naturahabitat,9030,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9040 Fjällbjörkskog,9040 Fjällbjörkskog,,Naturahabitat,9040,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9050 Näringsrik Granskog,9050 Näringsrik granskog,,Naturahabitat,9050,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9060 Åsbarrskog,9060 Åsbarrskog,,Naturahabitat,9060,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9070 Trädklädd Betesmark,9070 Trädklädd betesmark,,Naturahabitat,9070,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9080 Lövsumpskog,9080 Lövsumpskog,,Naturahabitat,9080,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9110 Näringsfattig Bokskog,9110 Näringsfattig bokskog,,Naturahabitat,9110,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9130 Näringsrik Bokskog,9130 Näringsrik bokskog,,Naturahabitat,9130,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9160 Näringsrik Ekskog,9160 Näringsrik ekskog,,Naturahabitat,9160,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9180 Ädellövskog I Branter,9180 Ädellövskog i branter,,Naturahabitat,9180,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9190 Näringsfattig Ekskog,9190 Näringsfattig ekskog,,Naturahabitat,9190,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9740 Skogsbevuxen Myr,9740 Skogsbevuxen myr,,Naturahabitat,9740,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9750 Svämlövskog,9750 Svämlövskog,,Naturahabitat,9750,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9760 Svämädellövskog,9760 Svämädellövskog,,Naturahabitat,9760,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9915 Trädklädda Inlandsdyner,9915 Trädklädda inlandsdyner,,Naturahabitat,9915,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
9999 Icke Habitat,9999 Icke habitat,,Naturahabitat,9999,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
Adam Och Eva,Dactylorhiza sambucina,Orkideer,SmaProvArt,Adam_Och_Eva,http://linnaeus.nrm.se/flora/mono/orchida/dacty/dactlat.html,Dactylorhiza sambucina,,,,,,,,,KT,,Silikat,,Kalk,,,Hällmark,,
